y,deg3,deg2,deg1
0.00379,0.140477,0.152846,0.109007
0.0038,0.138548,0.150916,0.10655
0.00381,0.136618,0.14899,0.104093
0.00382,0.134689,0.147066,0.101638
0.00383,0.132759,0.145146,0.0991843
0.00384,0.13083,0.143229,0.0967315
0.00385,0.128901,0.141316,0.0942799
0.00386,0.126971,0.139407,0.0918296
0.00387,0.125005,0.137492,0.089462
0.00388,0.122999,0.135565,0.0872484
0.00389,0.120996,0.133641,0.0850372
0.0039,0.118994,0.131722,0.0828287
0.00391,0.116995,0.129806,0.080623
0.00392,0.114999,0.127893,0.0784203
0.00393,0.113005,0.125985,0.0762211
0.00394,0.111014,0.124081,0.0740255
0.00395,0.109026,0.122181,0.0718339
0.00396,0.107041,0.120287,0.0696467
0.00397,0.10506,0.118396,0.0674642
0.00398,0.103082,0.116511,0.065287
0.00399,0.101108,0.114632,0.0631156
0.004,0.0991245,0.11276,0.0609499
0.00401,0.0970706,0.110925,0.058751
0.00402,0.0950384,0.109096,0.0565759
0.00403,0.0930293,0.107273,0.0544276
0.00404,0.0910448,0.105457,0.0523094
0.00405,0.0890867,0.103648,0.0502251
0.00406,0.0871567,0.101847,0.048179
0.00407,0.0852567,0.100053,0.0461764
0.00408,0.0833887,0.0982675,0.044223
0.00409,0.0815549,0.0964905,0.0423256
0.0041,0.0797578,0.0947227,0.0404922
0.00411,0.0779998,0.0929645,0.0387319
0.00412,0.0762836,0.0912165,0.037055
0.00413,0.0746122,0.0894794,0.0354735
0.00414,0.073138,0.0877892,0.0341625
0.00415,0.0717707,0.0861341,0.0330876
0.00416,0.0704812,0.0845041,0.0321969
0.00417,0.0692741,0.0829006,0.031506
0.00418,0.0681535,0.0813251,0.0310283
0.00419,0.0671239,0.0797794,0.0307737
0.0042,0.0661895,0.0782651,0.0307477
0.00421,0.0653544,0.0767842,0.030951
0.00422,0.0646224,0.0753385,0.031379
0.00423,0.0639971,0.0739302,0.0320228
0.00424,0.0634816,0.0725615,0.0328697
0.00425,0.0630786,0.0712346,0.0339045
0.00426,0.0627904,0.069952,0.0351105
0.00427,0.0626426,0.0688124,0.0363743
0.00428,0.0626121,0.067892,0.0375579
0.00429,0.0626634,0.0670591,0.038813
0.0043,0.0627963,0.066317,0.0401331
0.00431,0.0630104,0.0656688,0.0415119
0.00432,0.0633046,0.0651173,0.0429437
